#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
343,Mavelikara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,"12,52,668","8,89,060",71.0 %,"32,737",3.7%,AC View
344,Mayiladuthurai,28,GEN,Tamil Nadu,Bharathi Mohan R.K,All India Anna Dravida Munnetra Kazhagam,"13,50,318","10,25,538",76.0 %,"2,77,050",27.0%,AC View
345,Mayurbhanj,5,ST,Orissa,Rama Chandra Hansdah,Biju Janata Dal,"13,27,555","10,53,399",79.4 %,"1,22,866",11.7%,AC View
346,Medak,6,GEN,Telangana,Kalvakuntla Chandrasekhar Rao,Telangana Rashtra Samithi,"15,36,715","11,91,096",77.5 %,"3,97,029",33.3%,AC View
347,Medinipur,34,GEN,West Bengal,Sandhya Roy,All India Trinamool Congress,"14,99,673","12,60,032",84.0 %,"1,84,666",14.7%,AC View
348,Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,"17,64,388","11,13,384",63.1 %,"2,32,326",20.9%,AC View
349,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal,"17,20,661","10,07,627",58.6 %,"2,19,079",21.7%,AC View
350,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Anju Bala,Bharatiya Janta Party,"17,25,585","9,98,314",57.9 %,"87,363",8.8%,AC View
351,Mizoram,1,ST,Mizoram,C. L. Ruala,Indian National Congress,"7,02,170","4,33,201",61.7 %,"6,154",1.4%,AC View
352,Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Kaushal Kishore,Bharatiya Janta Party,"18,38,194","11,16,588",60.7 %,"1,45,416",13.0%,AC View
353,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Kunwer Sarvesh Kumar,Bharatiya Janta Party,"17,72,046","11,27,965",63.7 %,"87,504",7.8%,AC View
354,Morena,1,GEN,Madhya Pradesh [2000 Onwards],Anoop Mishra,Bharatiya Janta Party,"17,02,492","8,54,279",50.2 %,"1,32,981",15.6%,AC View
355,Mumbai North,26,GEN,Maharashtra,Gopal Chinayya Shetty,Bharatiya Janta Party,"17,83,870","9,46,562",53.1 %,"4,46,582",47.2%,AC View
356,Mumbai North Central,29,GEN,Maharashtra,Poonam Mahajan Alias Poonam Vajendla Rao,Bharatiya Janta Party,"17,38,894","8,45,292",48.6 %,"1,86,771",22.1%,AC View
357,Mumbai North East,28,GEN,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,"16,68,357","8,61,761",51.7 %,"3,17,122",36.8%,AC View
