#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
169,Erode,17,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,"13,21,395","10,08,582",76.3 %,"2,11,563",21.0%,AC View
170,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,"15,77,457","9,26,281",58.7 %,"2,01,001",21.7%,AC View
171,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Doharey,Bharatiya Janta Party,"17,07,237","9,39,604",55.0 %,"1,72,946",18.4%,AC View
172,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,"17,38,701","10,22,716",58.8 %,"2,82,775",27.6%,AC View
173,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"17,40,352","11,30,726",65.0 %,"4,66,873",41.3%,AC View
174,Faridkot,9,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,"14,55,075","10,32,107",70.9 %,"1,72,516",16.7%,AC View
175,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"16,13,781","9,70,677",60.2 %,"1,50,502",15.5%,AC View
176,Fatehgarh Sahib,8,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,"13,96,957","10,30,954",73.8 %,"54,144",5.3%,AC View
177,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,"18,04,777","10,56,688",58.6 %,"1,87,206",17.7%,AC View
178,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Babulal,Bharatiya Janta Party,"15,80,582","9,67,968",61.2 %,"1,73,106",17.9%,AC View
179,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,"15,22,111","11,05,412",72.6 %,"31,420",2.8%,AC View
180,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshay Yadav,Samajwadi Party,"16,36,738","11,04,606",67.5 %,"1,14,059",10.3%,AC View
181,Gadchiroli-Chimur,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,"14,69,767","10,27,129",69.9 %,"2,36,870",23.1%,AC View
182,Gandhinagar,6,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,"17,33,972","11,35,495",65.5 %,"4,83,121",42.5%,AC View
183,Ganganagar,1,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,"17,18,421","12,56,806",73.1 %,"2,91,741",23.2%,AC View
184,Garhwal,2,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,"12,69,083","6,82,024",53.7 %,"1,84,526",27.1%,AC View
185,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,"19,22,270","15,11,729",78.6 %,"3,15,784",20.9%,AC View
186,Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr.Mahesh Sharma,Bharatiya Janta Party,"19,86,117","11,99,238",60.4 %,"2,80,212",23.4%,AC View
187,Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,"15,00,751","8,09,378",53.9 %,"1,15,504",14.3%,AC View
188,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,"16,10,489","13,66,709",84.9 %,"2,60,891",19.1%,AC View
189,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Singh,Bharatiya Janta Party,"23,57,546","13,42,320",56.9 %,"5,67,260",42.3%,AC View
190,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Manoj Sinha,Bharatiya Janta Party,"18,01,519","9,86,673",54.8 %,"32,452",3.3%,AC View
191,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Harinarayan Rajbhar,Bharatiya Janta Party,"18,91,113","10,39,656",55.0 %,"1,46,015",14.0%,AC View
192,Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,"15,15,137","9,69,997",64.0 %,"40,313",4.2%,AC View
193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"15,90,628","10,49,442",66.0 %,"60,682",5.8%,AC View
194,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh,Bharatiya Janta Party,"17,10,827","8,73,732",51.1 %,"1,60,416",18.4%,AC View
195,Gopalganj,17,SC,Bihar [2000 Onwards],Janak Ram,Bharatiya Janta Party,"16,52,767","9,03,583",54.7 %,"2,86,936",31.8%,AC View
196,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,"19,04,498","10,40,199",54.6 %,"3,12,783",30.1%,AC View
197,Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,"17,21,990","9,97,638",57.9 %,"74,733",7.5%,AC View
198,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M Scindia,Indian National Congress,"16,05,619","9,76,629",60.8 %,"1,20,792",12.4%,AC View
199,Guntur,30,GEN,Andhra Pradesh [2014 Onwards],Jayadev Galla,Telugu Desam,"15,72,016","12,44,926",79.2 %,"69,111",5.6%,AC View
200,Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,"15,00,337","10,42,699",69.5 %,"1,36,065",13.0%,AC View
201,Gurgaon,9,GEN,Haryana,Inderjit Singh Rao,Bharatiya Janta Party,"18,45,623","13,20,619",71.6 %,"2,74,722",20.8%,AC View
202,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,"18,77,003","9,90,912",52.8 %,"29,699",3.0%,AC View
203,Hajipur,21,SC,Bihar [2000 Onwards],Ramvilas Paswan,Lok Jan Shakti Party,"16,49,547","9,04,753",54.9 %,"2,25,500",24.9%,AC View
204,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"12,47,699","8,35,205",66.9 %,"98,403",11.8%,AC View
205,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,"17,37,993","9,75,240",56.1 %,"2,66,788",27.4%,AC View
206,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Anshul Verma,Bharatiya Janta Party,"17,14,387","9,72,894",56.8 %,"81,343",8.4%,AC View
207,Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal Nishank,Bharatiya Janta Party,"16,42,873","11,75,692",71.6 %,"1,77,822",15.1%,AC View
208,Hassan,16,GEN,Karnataka,H.D. Devegowda,Janata Dal (Secular),"15,61,336","11,47,172",73.5 %,"1,00,462",8.8%,AC View
209,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Rajesh Kumar Diwaker,Bharatiya Janta Party,"17,58,927","10,49,273",59.7 %,"3,26,386",31.1%,AC View
210,Hatkanangle,48,GEN,Maharashtra,Raju Shetty,Swabhimani Paksha,"16,30,598","11,88,871",72.9 %,"1,77,810",15.0%,AC View
211,Haveri,10,GEN,Karnataka,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,"15,58,749","11,15,968",71.6 %,"87,571",7.8%,AC View
212,Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,"15,18,831","9,67,152",63.7 %,"1,59,128",16.5%,AC View
213,Hindupur,37,GEN,Andhra Pradesh [2014 Onwards],Kristappa Nimmala,Telugu Desam,"14,46,503","11,77,257",81.4 %,"97,325",8.3%,AC View
214,Hingoli,15,GEN,Maharashtra,Rajeev Shankarrao Satav,Indian National Congress,"15,86,194","10,51,164",66.3 %,"1,632",0.2%,AC View
215,Hisar,4,GEN,Haryana,Dushyant Chautala,Indian National Lok Dal,"15,17,606","11,55,914",76.2 %,"31,847",2.8%,AC View
216,Hooghly,28,GEN,West Bengal,Dr. Ratna De (NAG),All India Trinamool Congress,"16,30,042","13,48,870",82.8 %,"1,89,084",14.0%,AC View
217,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Bharatiya Janta Party,"15,68,127","10,31,175",65.8 %,"3,89,960",37.8%,AC View
218,Hoshiarpur,5,SC,Punjab,Vijay Sampla,Bharatiya Janta Party,"14,85,286","9,61,297",64.7 %,"13,582",1.4%,AC View
219,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,"15,05,099","11,25,399",74.8 %,"1,96,956",17.5%,AC View
220,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,"18,23,664","9,71,421",53.3 %,"2,02,454",20.8%,AC View
221,Idukki,13,GEN,Kerala,Adv.Joice George,Independent,"11,58,735","8,19,766",70.8 %,"50,542",6.2%,AC View
222,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,"21,15,303","13,16,817",62.3 %,"4,66,901",35.5%,AC View
223,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,"8,55,359","6,40,871",74.9 %,"94,674",14.8%,AC View
224,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,"17,11,683","10,02,184",58.6 %,"2,08,639",20.8%,AC View
225,Jadavpur,22,GEN,West Bengal,Sugata Bose,All India Trinamool Congress,"15,95,746","12,72,362",79.7 %,"1,25,203",9.8%,AC View
226,Jagatsinghpur,16,SC,Orissa,Kulamani Samal,Biju Janata Dal,"14,99,673","11,31,932",75.5 %,"2,76,394",24.4%,AC View
227,Jahanabad,36,GEN,Bihar [2000 Onwards],Dr. Arun Kumar,Rashtriya Lok Samta Party,"14,23,246","8,11,516",57.0 %,"42,340",5.2%,AC View
228,Jaipur,7,GEN,Rajasthan,Ramcharan Bohara,Bharatiya Janta Party,"19,57,818","12,96,806",66.2 %,"5,39,345",41.6%,AC View
229,Jaipur Rural,6,GEN,Rajasthan,Rajyavardhan Singh Rathore,Bharatiya Janta Party,"16,99,462","10,13,691",59.7 %,"3,32,896",32.8%,AC View
230,Jajpur,8,SC,Orissa,Rita Tarai,Biju Janata Dal,"13,03,733","9,80,435",75.2 %,"3,20,271",32.7%,AC View
231,Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,"15,51,497","10,40,762",67.1 %,"70,981",6.8%,AC View
232,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,"19,03,332","11,09,166",58.3 %,"2,87,202",25.9%,AC View
233,Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,"17,07,933","9,90,332",58.0 %,"3,83,525",38.7%,AC View
234,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,"16,12,054","10,66,259",66.1 %,"2,06,798",19.4%,AC View
235,Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,"18,24,968","10,87,272",59.6 %,"3,81,145",35.1%,AC View
236,Jalpaiguri,3,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,"15,31,469","13,02,117",85.0 %,"69,606",5.3%,AC View
237,Jammu,6,GEN,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,"18,48,155","12,53,593",67.8 %,"2,57,280",20.5%,AC View
238,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,"14,70,952","8,52,643",58.0 %,"1,75,289",20.6%,AC View
239,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,"15,81,665","10,49,140",66.3 %,"99,876",9.5%,AC View
240,Jamui,40,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,"15,50,936","7,75,639",50.0 %,"85,947",11.1%,AC View
241,Jangipur,9,GEN,West Bengal,Abhijit Mukherjee,Indian National Congress,"13,91,656","11,19,084",80.4 %,"8,161",0.7%,AC View
242,Janjgir-Champa,3,SC,Chhattisgarh,Kamla Patle,Bharatiya Janta Party,"17,37,532","10,73,347",61.8 %,"1,74,961",16.3%,AC View
243,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Krishna Pratap 'k.P.',Bharatiya Janta Party,"18,48,842","10,07,143",54.5 %,"1,46,310",14.5%,AC View
244,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"16,69,842","11,46,364",68.7 %,"2,81,546",24.6%,AC View
245,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Birendra Kumar Chaudhary,Bharatiya Janta Party,"16,50,753","9,41,249",57.0 %,"55,408",5.9%,AC View
246,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Uma Bharati,Bharatiya Janta Party,"19,32,015","13,20,804",68.4 %,"1,90,467",14.4%,AC View
247,Jhargram,33,ST,West Bengal,Uma Saren,All India Trinamool Congress,"14,75,112","12,57,613",85.3 %,"3,47,883",27.7%,AC View
248,Jhunjhunu,4,GEN,Rajasthan,Santosh Ahlawat,Bharatiya Janta Party,"16,96,788","10,06,465",59.3 %,"2,33,835",23.2%,AC View
249,Jodhpur,16,GEN,Rajasthan,Gajendrasingh Shekhawat,Bharatiya Janta Party,"17,27,363","10,78,598",62.4 %,"4,10,051",38.0%,AC View
250,Jorhat,12,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,"12,34,448","9,31,336",75.5 %,"1,02,420",11.0%,AC View
251,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,"14,58,724","11,86,052",81.3 %,"1,08,384",9.1%,AC View
252,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,"14,85,543","9,41,378",63.4 %,"1,35,832",14.4%,AC View
